date, pm25, pm10, o3, no2, so2, co
2021-09-05,53,32,10,4,1, 
2021-09-06,59,29,4,11,1, 
2021-09-07,58,21,9,12,1, 
2021-09-08,53,29,5,7, , 
2021-09-09,62,19,6,7,1, 
2021-09-10,44,23,8,10, , 
2021-09-11,47,22,7,8,1, 
2021-09-12,46,23,7,1, , 
2021-09-13,45,25,12,2, , 
2021-09-14,53,23,5,4, , 
2021-09-15,50,19,6,4,1, 
2021-09-16,37,22,7,4, , 
2021-09-17,44,31,18,6, , 
2021-09-18,59,25,13,5, , 
2021-09-19,52,27,9,4, , 
2021-09-20,54,16,7,2,1, 
2021-09-21,33,9,7,4,1, 
2021-09-22,23,10,5,3, , 
2021-09-23,18,12,5,4,1, 
2021-09-24,30,11,6,2, , 
2021-09-25,19,9,6,3, , 
2021-09-26,25,18,8,6,1, 
2021-09-27,35,34,7,9,1, 
2021-09-28,66,50,22,13,1, 
2021-09-29,98,38,14,10,2, 
2021-09-30,79,28,8,4,1, 
2021-04-01,79,22,7,5, , 
2021-04-02,47,28,15,6,1, 
2021-04-03,55,30,6,7, , 
2021-04-04,59,47,6,16, , 
2021-04-05,91,46,8,15,2, 
2021-04-06,86,47,15,16,1, 
2021-04-07,89,46,17,10,1, 
2021-04-08,86,38,15,10,1, 
2021-04-09,74,49,17,11,1, 
2021-04-10,90,42,19,11, , 
2021-04-11,85,44,14,11,1, 
2021-04-12,86,34,10,6,1, 
2021-04-13,70,28,8,4,1, 
2021-04-14,61,35,22,5,1, 
2021-04-15,74,28,10,5,1, 
2021-04-16,66,27,19,6,1, 
2021-04-17,64,28,15,4,1, 
2021-04-18,61,25,13,4,1, 
2021-04-19,47,27,24,10,1, 
2021-04-20,51,30,9,10,1, 
2021-04-21,58,39,17,9,1, 
2021-04-22,83,42,15,7, , 
2021-04-23,77,43,9,8, , 
2021-04-24,75,40,13,6, , 
2021-04-25,84,39,13,11, , 
2021-04-26,79,32,12,11,1, 
2021-04-27,66,41,15,13,1, 
2021-04-28,82,30,11,9, , 
2021-04-29,62,33,16,10, , 
2021-04-30,67,32,11,10, , 
2021-05-01,70,38,19,9, , 
2021-05-02,73,35,17,15, , 
2021-05-03,69,42,22,9,1, 
2021-05-04,80,44,29,10,1, 
2021-05-05,90,35,16,12, , 
2021-05-06,69,28,15,9, , 
2021-05-07,48,42,28,9,1, 
2021-05-08,83,34,23,8, , 
2021-05-09,71,31,13,4, , 
2021-05-10,67,30,15,6, , 
2021-05-11,62,26,13,4, , 
2021-05-12,59,27,15,5, , 
2021-05-13,61,23,8,5, , 
2021-05-14,50,25,12,5, , 
2021-05-15,53,21,9,4, , 
2021-05-16,46,24,10,5,1, 
2021-05-17,56,21,9,4, , 
2021-05-18,45,27,14,6,1, 
2021-05-19,54,26,10,9, , 
2021-05-20,48,20,7,7, , 
2021-05-21,43,23,16,5, , 
2021-05-22,49,22,13,4, , 
2021-05-23,44,25,13,4, , 
2021-05-24,48,26,13,6, , 
2021-05-25,43,25,19,7,1, 
2021-05-26,56,30,17,6,1, 
2021-05-27,66,23,7,6, , 
2021-05-28,49,20,6,5,1, 
2021-05-29,45,17,7,4,1, 
2021-05-30,36,23,8,5, , 
2021-05-31,47,24,12,5, , 
2021-06-01,58,28,6,4,1, 
2021-06-02,60,23,11,4,1, 
2021-06-03,53,27,13,4,1, 
2021-06-04,55,26,10,4,1, 
2021-06-05,56,23,6,5,1, 
2021-06-06,49,21,11,4, , 
2021-06-07,45,21,14,6,2, 
2021-06-08,46,16,9,5, , 
2021-06-09,35,14,8,5,1, 
2021-06-10,29,25,9,6,2, 
2021-06-11,51,36,9,8,2, 
2021-06-12,72,33,6,6,2, 
2021-06-13,61,27,6,6,1, 
2021-06-14,51,32,5,7, , 
2021-06-15,62,26,8,5, , 
2021-06-16,46,22,15,6,1, 
2021-06-17,46,25,5,6,1, 
2021-06-18,50,25,14,3, , 
2021-06-19,50,27,13,5, , 
2021-06-20,45,44,13,4,1, 
2021-06-21,74,54,12,8, , 
2021-06-22,94,41,13,5,1, 
2021-06-23,68,25,12,3, , 
2021-06-24,46,35,13,4, , 
2021-06-25,67,28,6,4,1, 
2021-06-26,54,19,9,1, , 
2021-06-27,36,25,13,6,1, 
2021-06-28,48,32,12,7,1, 
2021-06-29,61,25,11,5, , 
2021-06-30,49,24,9,4, , 
2021-01-04,119,57,17,25,3, 
2021-01-05,108,55,20,22,1, 
2021-01-06,116,50,20,18,1, 
2021-01-07,100,44,12,9, , 
2021-01-08,87,40,18,10,1, 
2021-01-09,74,49,19,15,1, 
2021-01-10,89,51,17,14,1, 
2021-01-11,97,56,17,18,1, 
2021-01-12,96,73,24,22,2, 
2021-01-13,143,85,28,35,3, 
2021-01-14,168,91,29,28,3, 
2021-01-15,180,81,26,20,1, 
2021-01-16,167,62,23,11,2, 
2021-01-17,134,53,20,12,1, 
2021-01-18,101,67,24,25,1, 
2021-01-19,149,79,34,26,1, 
2021-01-20,169,82,27,32,1, 
2021-01-21,170,93,42,36,3, 
2021-01-22,187,83,26,22,1, 
2021-01-23,165,49,14,13,1, 
2021-01-24,105,47,13,11,1, 
2021-01-25,90,51,14,12,1, 
2021-01-26,95,55,11,15,1, 
2021-01-27,110,56,20,15,2, 
2021-01-28,110,61,20,16,1, 
2021-01-29,120,61,19,16,1, 
2021-01-30,131,67,24,16,1, 
2021-01-31,138,78,26,27,2, 
2021-02-01,159,76,24,28,1, 
2021-02-02,149,70,20,22,1, 
2021-02-03,150,68,16,23,1, 
2021-02-04,142,70,20,26,1, 
2021-02-05,141,66,23,22,2, 
2021-02-06,139,74,34,21,3, 
2021-02-07,160,59,14,8,2, 
2021-02-08,111,68,8,13,1, 
2021-02-09,114,56,21,15,1, 
2021-02-10,107,51,4,19,1, 
2021-02-11,98,65,20,25,1, 
2021-02-12,123,59,26,12,1, 
2021-02-13,121,46,18,10,1, 
2021-02-14,95,53,15,11,1, 
2021-02-15,93,46,16,10,1, 
2021-02-16,93,51,20,15,1, 
2021-02-17,107,62,16,14,1, 
2021-02-18,131,57,17,15,1, 
2021-02-19,121,61,24,17,1, 
2021-02-20,128,71,32,23,1, 
2021-02-21,154,66,20,13, , 
2021-02-22,147,60,18,13,1, 
2021-02-23,125,63,16,11,1, 
2021-02-24,129,64,28,20,1, 
2021-02-25,141,65,9,16,1, 
2021-02-26,143,61,6,11,1, 
2021-02-27,142,65,8,7,2, 
2021-02-28,126,46,10,10,2, 
2021-03-01,83,32,8,8,1, 
2021-03-02,67,27,7,6,2, 
2021-03-03,58,37,13,10,1, 
2021-03-04,74,35,14,6, , 
2021-03-05,71,39,13,5,1, 
2021-03-06,80,39,13,3,1, 
2021-03-07,77,42,13,9,1, 
2021-03-08,86,46,12,12,1, 
2021-03-09,89,52,15,16,1, 
2021-03-10,105,61,15,16,1, 
2021-03-11,120,56,16,14,5, 
2021-03-12,104,48,16,11,1, 
2021-03-13,94,45,14,7, , 
2021-03-14,88,43,12,8, , 
2021-03-15,86,51,12,7, , 
2021-03-16,93,54,11,7, , 
2021-03-17,104,59,15,10, , 
2021-03-18,121,54,16,7, , 
2021-03-19,104,55,14,5,1, 
2021-03-20,103,42,11,4, , 
2021-03-21,84,60,8,13, , 
2021-03-22,117,60,23,17, , 
2021-03-23,119,68,30,17, , 
2021-03-24,140,63,23,9,1, 
2021-03-25,119,39,15,5, , 
2021-03-26,73,34,9,4, , 
2021-03-27,62,35,12,4,1, 
2021-03-28,71,34,12,4,1, 
2021-03-29,70,39,14,6,1, 
2021-03-30,75,44,17,7, , 
2021-03-31,93,36,13,7, , 
2020-10-01,56,21,7,12, , 
2020-10-02,48,25,12,14, , 
2020-10-03,57,18,11,12, , 
2020-10-04,43,23,10,9, , 
2020-10-05,58,26,12,12, , 
2020-10-06,68,28,12,9, , 
2020-10-07,67,20,5,10, , 
2020-10-08,57,20,4,18, , 
2020-10-09,53,26,2,16, , 
2020-10-10,52,27,6,16, , 
2020-10-11,58,42,12,20, , 
2020-10-12,77,31,3,16, , 
2020-10-13,69,32,11,16, , 
2020-10-14,63,55,11,12,1, 
2020-10-15,79,26,11,13, , 
2020-10-16,49,20,4,15, , 
2020-10-17,46,19,5,7, , 
2020-10-18,42,34,4,7, , 
2020-10-19,71,41,8,7, , 
2020-10-20,67,31,9,12, , 
2020-10-21,65,28,6,9,1, 
2020-10-22,75,38,16,8, , 
2020-10-23,83,59,22,12,1, 
2020-10-24,99,64,29,25,1, 
2020-10-25,128,59,22,25,1, 
2020-10-26,116,42,11,21,1, 
2020-10-27,82,46,16,20, , 
2020-10-28,94,33,3,15, , 
2020-10-29,76,25,2,12, , 
2020-10-30,57,29,8,14, , 
2020-10-31,58,32,7,12, , 
2020-11-01,56,42,15,12, , 
2020-11-02,77,38,13,9, , 
2020-11-03,79,42,18,13, , 
2020-11-04,94,39,23,14,1, 
2020-11-05,85,49,20,18,2, 
2020-11-06,94,34,16,10, , 
2020-11-07,74,49,21,11, , 
2020-11-08,103,49,22,14, , 
2020-11-09,102,53,23,18,1, 
2020-11-10,108,52,19,15,1, 
2020-11-11,101,42,12,15, , 
2020-11-12,87,53,21,15, , 
2020-11-13,106,62,31,16,1, 
2020-11-14,120,65,34,16,1, 
2020-11-15,138,37,23,13,1, 
2020-11-16,77,47,18,20,1, 
2020-11-17,89,50,15,23,1, 
2020-11-18,100,57,20,21,1, 
2020-11-19,119,53,12,21, , 
2020-11-20,107,43,5,17, , 
2020-11-21,80,35,11,19, , 
2020-11-22,77,49,7,21,1, 
2020-11-23,92,36,11,15, , 
2020-11-24,72,39,12,14, , 
2020-11-25,73,37,14,15, , 
2020-11-26,67,30,12,15, , 
2020-11-27,59,40,20,10, , 
2020-11-28,71,35,24,11, , 
2020-11-29,71,27,21,9, , 
2020-11-30,60,37,17,12,1, 
2020-12-01,66,33,18,10,1, 
2020-12-02,67,32,18,9,1, 
2020-12-03,68,39,20,10,1, 
2020-12-04,80,42,21,11, , 
2020-12-05,83,51,23,16,1, 
2020-12-06,91,56,20,20,1, 
2020-12-07,109,54,22,17,1, 
2020-12-08,104,53,22,16,1, 
2020-12-09,103,64,25,22,2, 
2020-12-10,132,71,28,15,2, 
2020-12-11,148,65,22,17,1, 
2020-12-12,140,70,16,23,2, 
2020-12-13,143,71,15,25,1, 
2020-12-14,161,76,7,24,3, 
2020-12-15,149,51,10,15,2, 
2020-12-16,107,44,13,16,2, 
2020-12-17,83,50,24,25,1, 
2020-12-18,93,43,20,17,1, 
2020-12-19,79,42,21,15,1, 
2020-12-20,81,47,19,25,1, 
2020-12-21,88,60,20,26,2, 
2020-12-22,116,64,19,28,2, 
2020-12-23,128,63,19,31,2, 
2020-12-24,138,57,9,25,2, 
2020-12-25,120,55,14,28,2, 
2020-12-26,106,51,20,18,1, 
2020-12-27,101,42,15,17,1, 
2020-12-28,81,55,16,24,1, 
2020-12-29,105,51,11,18,2, 
2020-12-30,98,38,19,5,1, 
2020-12-31,76,42,24,8,1, 
2021-01-01,82,46,25,11,1, 
2021-01-02,93,58,26,14,2, 
2021-01-03,130,56,21,17,2, 
2020-07-01,46,21,3,5, , 
2020-07-02,46,22,5,6, , 
2020-07-03,55,29,8,5, , 
2020-07-04,60,23,7,3, , 
2020-07-05,55,23,10,3, , 
2020-07-06,50,23,14,3, , 
2020-07-07,53,19,6,5,1, 
2020-07-08,47,23,12,5,2, 
2020-07-09,50,22,5,6,2, 
2020-07-10,53,26,7,7,1, 
2020-07-11,50,24,13,7,2, 
